ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300102.SZ,2018-02-08,7.3,7.6,7.25,7.47,7.27,0.2,2.75,133771.67,100111.551
300102.SZ,2018-02-09,7.29,7.55,7.18,7.33,7.47,-0.14,-1.87,158955.12,117423.496
300102.SZ,2018-02-12,7.39,7.93,7.39,7.9,7.33,0.57,7.78,207890.23,159650.348
300102.SZ,2018-02-13,7.82,7.82,7.66,7.72,7.9,-0.18,-2.28,181496.99,140007.334
300102.SZ,2018-02-14,7.71,7.73,7.57,7.61,7.72,-0.11,-1.42,103997.38,79245.816
300102.SZ,2018-02-22,7.68,7.8,7.63,7.74,7.61,0.13,1.71,93994.52,72664.926
300102.SZ,2018-02-23,7.68,7.73,7.61,7.7,7.74,-0.04,-0.52,83607.35,64038.595
300102.SZ,2018-02-26,7.76,8.04,7.7,7.99,7.7,0.29,3.77,174497.37,137790.016
300102.SZ,2018-02-27,8.03,8.23,7.91,8.09,7.99,0.1,1.25,204519.84,165829.225
300102.SZ,2018-03-01,8.08,8.17,7.8,8.17,8.09,0.08,0.99,257772.79,206069.605
300102.SZ,2018-03-02,8.01,8.14,7.89,7.91,8.17,-0.26,-3.18,159634.89,127596.832
300102.SZ,2018-03-05,7.9,8.07,7.89,8.05,7.91,0.14,1.77,105960.65,84470.275
300102.SZ,2018-03-06,8.06,8.19,7.98,8.11,8.05,0.06,0.75,165713.65,134541.735
300102.SZ,2018-03-07,8.08,8.12,7.96,7.96,8.11,-0.15,-1.85,114758.0,92156.834
300102.SZ,2018-03-08,7.97,8.1,7.93,7.99,7.96,0.03,0.38,83124.14,66615.742
300102.SZ,2018-03-09,7.97,8.21,7.97,8.18,7.99,0.19,2.38,189476.04,154438.245
300102.SZ,2018-03-12,8.24,8.38,8.19,8.25,8.18,0.07,0.86,195551.57,161802.774
300102.SZ,2018-03-13,8.2,8.37,8.18,8.24,8.25,-0.01,-0.12,169926.15,140813.156
300102.SZ,2018-03-14,8.2,8.28,8.03,8.04,8.24,-0.2,-2.43,149030.23,121369.772
300102.SZ,2018-03-15,8.01,8.1,7.9,8.0,8.04,-0.04,-0.5,122800.48,98035.721
300102.SZ,2018-03-16,8.0,8.06,7.95,7.95,8.0,-0.05,-0.63,86510.0,69281.276
300102.SZ,2018-03-19,7.95,8.1,7.9,8.04,7.95,0.09,1.13,97065.33,77918.918
300102.SZ,2018-03-20,7.92,8.33,7.81,8.28,8.04,0.24,2.99,286345.19,232532.677
300102.SZ,2018-03-21,8.31,8.31,8.01,8.05,8.28,-0.23,-2.78,233569.94,191749.211
300102.SZ,2018-03-22,8.0,8.1,7.87,7.92,8.05,-0.13,-1.61,143309.76,114120.264
300102.SZ,2018-03-23,7.67,7.72,7.17,7.26,7.92,-0.66,-8.33,191139.8,142985.325
300102.SZ,2018-03-26,7.1,7.49,7.1,7.49,7.26,0.23,3.17,113295.48,83496.358
300102.SZ,2018-03-27,7.64,7.84,7.55,7.78,7.49,0.29,3.87,145035.25,111822.943
300102.SZ,2018-03-28,7.65,7.84,7.62,7.75,7.78,-0.03,-0.39,97157.63,75268.588
300102.SZ,2018-03-29,7.74,7.87,7.68,7.77,7.75,0.02,0.26,112949.64,87681.338
300102.SZ,2018-03-30,7.8,8.08,7.76,8.07,7.77,0.3,3.86,182281.61,144860.705
300102.SZ,2018-04-02,8.17,8.34,8.08,8.26,8.07,0.19,2.35,335023.49,275890.015
300102.SZ,2018-04-03,8.09,8.16,8.04,8.12,8.26,-0.14,-1.69,150415.34,121700.43
300102.SZ,2018-04-04,8.18,8.2,7.86,7.87,8.12,-0.25,-3.08,146842.9,117902.361
300102.SZ,2018-04-09,7.85,8.19,7.73,8.18,7.87,0.31,3.94,207305.52,165988.443
300102.SZ,2018-04-10,8.21,8.23,7.97,8.09,8.18,-0.09,-1.1,150451.77,121400.154
300102.SZ,2018-04-11,8.14,8.22,8.08,8.11,8.09,0.02,0.25,125876.7,102564.984
300102.SZ,2018-04-12,8.07,8.23,8.03,8.15,8.11,0.04,0.49,127711.31,103940.64
300102.SZ,2018-04-13,8.18,8.34,8.13,8.29,8.15,0.14,1.72,228623.31,188320.34
300102.SZ,2018-04-16,8.23,8.31,8.11,8.24,8.29,-0.05,-0.6,171483.14,140709.128
300102.SZ,2018-04-17,8.2,8.37,7.98,7.98,8.24,-0.26,-3.16,201707.03,165000.134
300102.SZ,2018-04-18,8.03,8.5,7.99,8.43,7.95,0.48,6.04,443990.67,367664.647
300102.SZ,2018-04-19,8.33,8.58,8.29,8.45,8.43,0.02,0.24,367295.42,309402.344
300102.SZ,2018-04-20,8.4,8.68,8.36,8.55,8.45,0.1,1.18,448736.27,383822.084
300102.SZ,2018-04-23,8.61,8.65,8.21,8.44,8.55,-0.11,-1.29,290256.1,243686.402
300102.SZ,2018-04-24,8.39,8.67,8.3,8.67,8.44,0.23,2.73,308825.56,263190.714
300102.SZ,2018-04-25,8.55,8.72,8.48,8.56,8.67,-0.11,-1.27,275918.22,237021.519
300102.SZ,2018-04-26,8.56,8.67,8.4,8.4,8.56,-0.16,-1.87,230702.93,197005.595
300102.SZ,2018-04-27,8.43,8.5,8.1,8.18,8.4,-0.22,-2.62,210481.2,173661.562
300102.SZ,2018-05-02,8.24,8.32,7.84,7.99,8.18,-0.19,-2.32,181124.9,146014.193
300102.SZ,2018-05-03,7.98,8.07,7.68,8.05,7.99,0.06,0.75,167659.51,132048.284
300102.SZ,2018-05-04,7.99,8.12,7.85,7.85,8.05,-0.2,-2.48,117856.91,94267.421
300102.SZ,2018-05-07,7.86,8.06,7.86,8.05,7.85,0.2,2.55,113925.95,91021.958
300102.SZ,2018-05-08,8.04,8.06,7.93,7.98,8.05,-0.07,-0.87,111313.0,88847.116
300102.SZ,2018-05-09,7.99,8.11,7.95,8.02,7.98,0.04,0.5,106766.83,85827.808
300102.SZ,2018-05-10,8.04,8.04,7.85,7.93,8.02,-0.09,-1.12,97908.28,77664.939
300102.SZ,2018-05-11,7.93,7.97,7.69,7.7,7.93,-0.23,-2.9,115904.0,90463.927
300102.SZ,2018-05-14,7.68,7.79,7.55,7.59,7.7,-0.11,-1.43,79904.14,61398.755
300102.SZ,2018-05-15,7.58,7.76,7.58,7.75,7.59,0.16,2.11,69318.27,53129.342
300102.SZ,2018-05-16,7.72,7.72,7.6,7.61,7.75,-0.14,-1.81,62405.18,47756.927
300102.SZ,2018-05-17,7.62,7.67,7.51,7.56,7.61,-0.05,-0.66,53853.02,40928.176
300102.SZ,2018-05-18,7.59,7.68,7.5,7.67,7.56,0.11,1.46,65939.63,50069.152
300102.SZ,2018-05-21,7.71,7.84,7.71,7.79,7.67,0.12,1.56,107507.85,83664.5
300102.SZ,2018-05-22,7.8,7.81,7.69,7.79,7.79,0.0,0.0,93586.81,72534.747
300102.SZ,2018-05-23,7.78,7.83,7.64,7.7,7.79,-0.09,-1.16,84754.88,65503.96
300102.SZ,2018-05-24,7.71,7.73,7.59,7.61,7.7,-0.09,-1.17,75801.49,57923.181
300102.SZ,2018-05-25,7.59,7.63,7.39,7.4,7.61,-0.21,-2.76,83305.16,62346.082
300102.SZ,2018-05-28,7.4,7.5,7.35,7.36,7.4,-0.04,-0.54,49829.68,36927.373
300102.SZ,2018-05-29,7.39,7.47,7.35,7.36,7.36,0.0,0.0,46641.8,34532.189
300102.SZ,2018-05-30,7.26,7.29,6.76,6.91,7.36,-0.45,-6.11,127504.99,90486.266
300102.SZ,2018-05-31,6.95,7.08,6.88,6.96,6.91,0.05,0.72,66206.23,46167.383
300102.SZ,2018-06-01,6.95,6.95,6.73,6.77,6.96,-0.19,-2.73,94415.0,64560.645
300102.SZ,2018-06-04,6.74,6.84,6.73,6.76,6.77,-0.01,-0.15,45296.38,30725.27
300102.SZ,2018-06-05,6.76,6.96,6.75,6.93,6.76,0.17,2.51,56124.26,38497.648
300102.SZ,2018-06-06,6.93,6.96,6.84,6.91,6.93,-0.02,-0.29,55620.3,38316.91
300102.SZ,2018-06-07,6.9,7.0,6.88,6.92,6.91,0.01,0.14,76990.19,53400.156
300102.SZ,2018-06-08,6.92,6.94,6.68,6.74,6.92,-0.18,-2.6,57109.0,38672.164
300102.SZ,2018-06-11,6.74,6.74,6.59,6.6,6.74,-0.14,-2.08,47576.2,31600.051
300102.SZ,2018-06-12,6.65,6.77,6.45,6.7,6.6,0.1,1.52,162348.07,106428.754
300102.SZ,2018-06-13,6.65,6.65,6.36,6.38,6.7,-0.32,-4.78,114567.22,74515.112
300102.SZ,2018-06-14,6.3,6.43,6.27,6.37,6.38,-0.01,-0.16,92343.75,58491.807
300102.SZ,2018-06-15,6.34,6.39,6.15,6.2,6.37,-0.17,-2.67,83993.0,52620.225
300102.SZ,2018-06-19,6.1,6.23,5.72,6.13,6.2,-0.07,-1.13,219584.33,133871.654
300102.SZ,2018-06-20,6.06,6.22,5.82,6.13,6.13,0.0,0.0,186954.33,113223.944
300102.SZ,2018-06-21,6.08,6.13,5.87,5.96,6.13,-0.17,-2.77,136024.46,81543.066
300102.SZ,2018-06-22,5.96,6.3,5.93,6.24,5.96,0.28,4.7,149268.3,91931.226
300102.SZ,2018-06-25,6.32,6.51,6.25,6.39,6.24,0.15,2.4,138865.35,88804.403
300102.SZ,2018-06-26,6.33,6.57,6.27,6.55,6.39,0.16,2.5,118915.84,76654.534
300102.SZ,2018-06-27,6.5,6.56,6.34,6.49,6.55,-0.06,-0.92,101226.11,65176.246
300102.SZ,2018-06-28,6.43,6.53,6.35,6.37,6.49,-0.12,-1.85,55462.11,35787.324
300102.SZ,2018-06-29,6.38,6.61,6.33,6.56,6.37,0.19,2.98,105641.94,68849.419
300102.SZ,2018-07-02,6.51,6.57,6.36,6.44,6.56,-0.12,-1.83,77958.22,50226.179
300102.SZ,2018-07-03,6.44,6.59,6.3,6.56,6.44,0.12,1.86,101150.13,65571.557
300102.SZ,2018-07-04,6.5,6.52,6.37,6.37,6.56,-0.19,-2.9,68590.31,44053.46
300102.SZ,2018-07-05,6.34,6.42,6.1,6.1,6.37,-0.27,-4.24,81195.79,50688.027
300102.SZ,2018-07-06,6.1,6.33,6.08,6.23,6.1,0.13,2.13,68589.04,42590.99
300102.SZ,2018-07-09,6.26,6.32,6.22,6.31,6.23,0.08,1.28,52983.6,33255.675
300102.SZ,2018-07-10,6.32,6.41,6.28,6.41,6.31,0.1,1.58,62288.69,39464.039
300102.SZ,2018-07-11,6.33,6.34,6.11,6.2,6.41,-0.21,-3.28,63403.88,39360.274
300102.SZ,2018-07-12,6.2,6.45,6.2,6.38,6.2,0.18,2.9,67174.98,42711.021
300102.SZ,2018-07-13,6.46,6.53,6.42,6.42,6.38,0.04,0.63,87192.36,56330.975
300102.SZ,2018-07-16,6.43,6.52,6.4,6.46,6.42,0.04,0.62,52998.48,34255.525
300102.SZ,2018-07-17,6.48,6.48,6.31,6.45,6.46,-0.01,-0.15,61976.0,39559.986
300102.SZ,2018-07-18,6.44,6.5,6.38,6.39,6.45,-0.06,-0.93,58251.0,37533.287
300102.SZ,2018-07-19,6.33,6.38,6.22,6.26,6.39,-0.13,-2.03,61153.18,38466.601
300102.SZ,2018-07-20,6.29,6.36,6.18,6.31,6.26,0.05,0.7987,47173.0,29662.783
300102.SZ,2018-07-23,6.29,6.45,6.23,6.4,6.31,0.09,1.4263,60127.8,38309.457
300102.SZ,2018-07-24,6.38,6.51,6.34,6.49,6.4,0.09,1.4063,75046.36,48419.472
300102.SZ,2018-07-25,6.49,6.58,6.42,6.5,6.49,0.01,0.1541,69456.0,45143.154
300102.SZ,2018-07-26,6.49,6.52,6.42,6.52,6.5,0.02,0.3077,73280.0,47463.693
300102.SZ,2018-07-27,6.53,6.54,6.43,6.45,6.52,-0.07,-1.0736,62814.16,40701.082
300102.SZ,2018-07-30,6.5,6.59,6.39,6.44,6.45,-0.01,-0.155,71642.0,46405.907
300102.SZ,2018-07-31,6.28,6.29,6.07,6.16,6.44,-0.28,-4.3478,112230.09,69166.192
300102.SZ,2018-08-01,6.17,6.23,6.05,6.06,6.16,-0.1,-1.6234,59945.0,36825.568
300102.SZ,2018-08-02,6.08,6.1,5.83,5.95,6.06,-0.11,-1.8152,96030.06,57544.185
300102.SZ,2018-08-03,6.36,6.55,6.2,6.55,5.95,0.6,10.084,360865.84,235574.077
300102.SZ,2018-08-06,6.59,6.72,6.21,6.26,6.55,-0.29,-4.4275,375283.89,242972.324
300102.SZ,2018-08-07,6.12,6.52,6.11,6.49,6.26,0.23,3.6741,231509.25,146054.32
300102.SZ,2018-08-08,6.41,6.55,6.27,6.27,6.49,-0.22,-3.3898,138933.38,89215.915
300102.SZ,2018-08-09,6.29,6.88,6.22,6.68,6.27,0.41,6.5391,247411.19,163370.863
300102.SZ,2018-08-10,6.68,6.77,6.61,6.71,6.68,0.03,0.4491,161512.34,108049.872
300102.SZ,2018-08-13,6.63,6.78,6.54,6.77,6.71,0.06,0.8942,137527.97,91613.595
300102.SZ,2018-08-14,6.72,6.76,6.62,6.66,6.77,-0.11,-1.6248,88029.14,58749.208
300102.SZ,2018-08-15,6.63,6.66,6.48,6.53,6.66,-0.13,-1.952,90429.02,59255.115
300102.SZ,2018-08-16,6.43,6.65,6.4,6.59,6.53,0.06,0.9188,104718.33,68744.309
300102.SZ,2018-08-17,6.63,6.7,6.21,6.26,6.59,-0.33,-5.0076,110612.78,71939.994
300102.SZ,2018-08-20,6.21,6.36,6.15,6.36,6.26,0.1,1.5974,68911.97,43172.456
300102.SZ,2018-08-21,6.35,6.41,6.25,6.35,6.36,-0.01,-0.1572,63252.73,40092.119
300102.SZ,2018-08-22,6.35,6.35,6.15,6.18,6.35,-0.17,-2.6772,48000.47,30011.719
300102.SZ,2018-08-23,6.18,6.32,6.18,6.27,6.18,0.09,1.4563,47488.41,29791.358
300102.SZ,2018-08-24,6.22,6.31,6.22,6.26,6.27,-0.01,-0.1595,35337.19,22164.23
300102.SZ,2018-08-27,6.26,6.49,6.26,6.49,6.26,0.23,3.6741,77304.35,49550.072
300102.SZ,2018-08-28,6.52,6.52,6.41,6.46,6.49,-0.03,-0.4622,57977.49,37440.874
300102.SZ,2018-08-29,6.43,6.48,6.39,6.47,6.46,0.01,0.1548,40863.15,26296.846
300102.SZ,2018-08-30,6.46,6.46,6.33,6.36,6.47,-0.11,-1.7002,51476.87,32949.38
300102.SZ,2018-08-31,6.36,6.4,6.18,6.19,6.36,-0.17,-2.673,33946.56,21422.971
300102.SZ,2018-09-03,6.23,6.3,6.15,6.3,6.19,0.11,1.7771,35010.75,21782.3
300102.SZ,2018-09-04,6.29,6.4,6.24,6.36,6.3,0.06,0.9524,43576.12,27550.452
300102.SZ,2018-09-05,6.35,6.37,6.17,6.18,6.36,-0.18,-2.8302,47043.48,29559.254
300102.SZ,2018-09-06,6.19,6.28,6.12,6.14,6.18,-0.04,-0.6472,43514.0,26958.162
300102.SZ,2018-09-07,6.16,6.25,6.09,6.17,6.14,0.03,0.4886,40289.7,24864.654
300102.SZ,2018-09-10,6.16,6.18,5.98,6.03,6.17,-0.14,-2.269,42025.09,25403.693
300102.SZ,2018-09-11,6.0,6.07,5.95,6.02,6.03,-0.01,-0.1658,28572.21,17190.518
300102.SZ,2018-09-12,6.03,6.09,6.01,6.05,6.02,0.03,0.4983,22232.0,13467.168
300102.SZ,2018-09-13,6.09,6.14,6.04,6.1,6.05,0.05,0.8264,23589.0,14376.897
300102.SZ,2018-09-14,6.13,6.13,6.0,6.02,6.1,-0.08,-1.3115,25844.0,15662.334
300102.SZ,2018-09-17,6.62,6.62,6.1,6.11,6.02,0.09,1.495,132547.99,84345.348
300102.SZ,2018-09-18,6.02,6.15,5.95,6.14,6.11,0.03,0.491,90640.19,54816.977
300102.SZ,2018-09-19,6.08,6.22,6.07,6.15,6.14,0.01,0.1629,72309.0,44502.788
300102.SZ,2018-09-20,6.15,6.17,6.12,6.13,6.15,-0.02,-0.3252,37419.0,22992.909
300102.SZ,2018-09-21,6.13,6.21,6.11,6.19,6.13,0.06,0.9788,40539.75,25008.304
300102.SZ,2018-09-25,6.19,6.19,6.09,6.12,6.19,-0.07,-1.1309,33170.2,20359.681
300102.SZ,2018-09-26,6.12,6.15,6.04,6.07,6.12,-0.05,-0.817,45225.33,27595.127
300102.SZ,2018-09-27,6.06,6.07,5.91,5.92,6.07,-0.15,-2.4712,55036.0,32961.171
300102.SZ,2018-09-28,5.93,6.01,5.89,5.99,5.92,0.07,1.1824,34288.0,20386.87
300102.SZ,2018-10-08,5.9,5.92,5.73,5.76,5.99,-0.23,-3.8397,47173.85,27379.916
300102.SZ,2018-10-09,5.76,5.86,5.76,5.8,5.76,0.04,0.6944,28797.54,16737.495
300102.SZ,2018-10-10,5.79,5.83,5.76,5.8,5.8,0.0,0.0,13725.58,7964.06
300102.SZ,2018-11-01,5.41,5.76,5.41,5.64,5.8,-0.16,-2.7586,147836.05,82582.407
300102.SZ,2018-11-02,5.59,5.79,5.57,5.79,5.64,0.15,2.6596,101788.19,57843.652
300102.SZ,2018-11-05,5.79,5.87,5.73,5.86,5.79,0.07,1.209,74797.51,43380.47
300102.SZ,2018-11-06,5.83,5.87,5.78,5.83,5.86,-0.03,-0.5119,36687.73,21377.46
300102.SZ,2018-11-07,5.83,5.86,5.75,5.78,5.83,-0.05,-0.8576,43889.65,25505.174
300102.SZ,2018-11-08,5.85,5.9,5.81,5.87,5.78,0.09,1.5571,65320.33,38286.944
300102.SZ,2018-11-09,5.84,5.9,5.76,5.87,5.87,0.0,0.0,89478.77,52171.948
300102.SZ,2018-11-12,5.83,6.0,5.82,6.0,5.87,0.13,2.2147,125853.01,74323.709
300102.SZ,2018-11-13,5.92,6.14,5.91,6.08,6.0,0.08,1.3333,103415.23,62662.927
300102.SZ,2018-11-14,6.12,6.14,6.04,6.07,6.08,-0.01,-0.1645,54685.01,33287.157
300102.SZ,2018-11-15,6.11,6.17,6.06,6.15,6.07,0.08,1.318,56313.99,34509.621
300102.SZ,2018-11-16,6.15,6.23,6.12,6.18,6.15,0.03,0.4878,57473.96,35493.221
300102.SZ,2018-11-19,6.17,6.21,6.09,6.13,6.18,-0.05,-0.8091,51433.56,31515.36
300102.SZ,2018-11-20,6.09,6.19,6.01,6.02,6.13,-0.11,-1.7945,61714.81,37647.171
300102.SZ,2018-11-21,6.03,6.09,5.96,6.07,6.02,0.05,0.8306,47395.57,28587.968
300102.SZ,2018-11-22,6.1,6.27,6.09,6.14,6.07,0.07,1.1532,78478.92,48518.517
300102.SZ,2018-11-23,6.12,6.25,5.97,6.17,6.14,0.03,0.4886,110327.2,67243.574
300102.SZ,2018-11-26,6.15,6.37,6.1,6.33,6.17,0.16,2.5932,142644.29,89623.683
300102.SZ,2018-11-27,6.31,6.35,6.1,6.15,6.33,-0.18,-2.8436,101025.69,62740.345
300102.SZ,2018-11-28,6.15,6.15,5.96,6.1,6.15,-0.05,-0.813,70955.0,43022.868
300102.SZ,2018-11-29,6.14,6.16,5.91,6.01,6.1,-0.09,-1.4754,85075.44,51263.491
300102.SZ,2018-11-30,5.96,6.06,5.81,5.94,6.01,-0.07,-1.1647,45016.0,26586.957
300102.SZ,2018-12-03,6.07,6.24,6.03,6.18,5.94,0.24,4.0404,105557.93,64967.728
300102.SZ,2018-12-04,6.15,6.21,6.12,6.18,6.18,0.0,0.0,47035.41,29015.344
300102.SZ,2018-12-05,6.09,6.11,6.05,6.06,6.18,-0.12,-1.9417,49179.0,29884.383
300102.SZ,2018-12-06,6.02,6.13,5.96,6.08,6.06,0.02,0.33,62817.16,37957.904
300102.SZ,2018-12-07,6.06,6.17,6.05,6.17,6.08,0.09,1.4803,62771.0,38445.49
300102.SZ,2018-12-10,6.13,6.26,6.08,6.22,6.17,0.05,0.8104,79630.04,49302.293
300102.SZ,2018-12-11,6.24,6.35,6.23,6.33,6.22,0.11,1.7685,129535.11,81563.805
300102.SZ,2018-12-12,6.96,6.96,6.52,6.59,6.33,0.26,4.1074,455025.71,309131.233
300102.SZ,2018-12-13,6.48,6.88,6.38,6.75,6.59,0.16,2.4279,418673.69,279804.812
300102.SZ,2018-12-14,6.62,6.7,6.43,6.43,6.75,-0.32,-4.7407,286006.49,188511.19
300102.SZ,2018-12-17,6.4,6.49,6.33,6.45,6.43,0.02,0.311,90160.69,57739.776
300102.SZ,2018-12-18,6.4,6.45,6.25,6.25,6.45,-0.2,-3.1008,99663.0,63119.406
300102.SZ,2018-12-19,6.31,6.32,5.93,6.07,6.25,-0.18,-2.88,156391.0,95267.618
300102.SZ,2018-12-20,5.98,6.03,5.87,5.96,6.07,-0.11,-1.8122,100501.39,59638.472
300102.SZ,2018-12-21,5.92,6.0,5.88,5.92,5.96,-0.04,-0.6711,65075.0,38649.499
300102.SZ,2018-12-24,5.9,6.02,5.9,5.94,5.92,0.02,0.3378,80812.37,48119.58
300102.SZ,2018-12-25,5.92,6.12,5.81,6.11,5.94,0.17,2.862,235270.11,141530.384
300102.SZ,2018-12-26,6.04,6.2,6.01,6.08,6.11,-0.03,-0.491,229577.0,140382.38
300102.SZ,2018-12-27,6.11,6.14,5.67,5.73,6.08,-0.35,-5.7566,208696.0,123000.89
300102.SZ,2018-12-28,5.74,6.11,5.57,5.83,5.73,0.1,1.7452,139715.0,80475.735
300102.SZ,2019-01-02,5.83,5.97,5.73,5.94,5.83,0.11,1.8868,155729.02,91512.901
300102.SZ,2019-01-03,5.96,5.97,5.79,5.83,5.94,-0.11,-1.8519,73639.0,43008.393
300102.SZ,2019-01-04,5.76,5.9,5.69,5.88,5.83,0.05,0.8576,100819.0,58761.453
300102.SZ,2019-01-07,5.89,6.06,5.87,6.04,5.88,0.16,2.7211,124142.12,74095.813
300102.SZ,2019-01-08,6.01,6.06,5.95,5.96,6.04,-0.08,-1.3245,69079.02,41411.61
300102.SZ,2019-01-09,5.97,6.08,5.96,5.96,5.96,0.0,0.0,83016.02,49943.746
300102.SZ,2019-01-10,5.95,6.02,5.94,6.0,5.96,0.04,0.6711,80425.25,48135.499
300102.SZ,2019-01-11,6.01,6.26,5.95,6.18,6.0,0.18,3.0,153813.29,93706.257
300102.SZ,2019-01-14,6.26,6.26,6.04,6.05,6.18,-0.13,-2.1036,108183.73,66098.354
300102.SZ,2019-01-15,6.08,6.15,6.03,6.14,6.05,0.09,1.4876,60987.49,37169.615
300102.SZ,2019-01-16,6.1,6.14,6.04,6.05,6.14,-0.09,-1.4658,56752.04,34487.37
300102.SZ,2019-01-17,6.04,6.04,5.91,5.91,6.05,-0.14,-2.314,62413.08,37190.756
300102.SZ,2019-01-18,5.92,6.0,5.9,5.97,5.91,0.06,1.0152,47578.0,28260.852
300102.SZ,2019-01-21,5.97,6.03,5.94,5.99,5.97,0.02,0.335,46292.0,27776.29
300102.SZ,2019-01-22,6.0,6.0,5.89,5.92,5.99,-0.07,-1.1686,37169.85,22084.049
300102.SZ,2019-01-23,5.9,5.99,5.9,5.95,5.92,0.03,0.5068,37246.49,22202.958
300102.SZ,2019-01-24,5.94,6.08,5.94,6.01,5.95,0.06,1.0084,56971.49,34366.873
300102.SZ,2019-01-25,5.98,6.08,5.97,6.05,6.01,0.04,0.6656,68295.49,41241.272
300102.SZ,2019-01-28,6.02,6.09,5.95,5.98,6.05,-0.07,-1.157,64242.0,38794.537
300102.SZ,2019-01-29,5.98,6.06,5.8,6.0,5.98,0.02,0.3344,126094.31,75344.435
300102.SZ,2019-01-30,6.0,6.06,5.94,5.97,6.0,-0.03,-0.5,67798.0,40786.988
300102.SZ,2019-01-31,5.97,6.07,5.92,5.98,5.97,0.01,0.1675,153270.49,91993.943
300102.SZ,2019-02-01,6.05,6.18,5.98,6.15,5.98,0.17,2.8428,196996.05,120055.039
300102.SZ,2019-02-11,6.16,6.22,6.11,6.2,6.15,0.05,0.813,113862.0,70165.034
300102.SZ,2019-02-12,6.18,6.27,6.15,6.25,6.2,0.05,0.8065,105119.37,65376.36
300102.SZ,2019-02-13,6.26,6.45,6.19,6.37,6.25,0.12,1.92,139959.08,88942.29
300102.SZ,2019-02-14,6.34,6.35,6.23,6.27,6.37,-0.1,-1.5699,112917.0,70916.634
300102.SZ,2019-02-15,6.24,6.29,6.17,6.19,6.27,-0.08,-1.2759,93775.2,58506.532
300102.SZ,2019-02-18,6.23,6.48,6.22,6.44,6.19,0.25,4.0388,156074.31,99549.662
300102.SZ,2019-02-19,6.45,6.48,6.3,6.4,6.44,-0.04,-0.6211,142304.81,90910.885
300102.SZ,2019-02-20,6.36,6.54,6.33,6.48,6.4,0.08,1.25,140960.0,90928.883
300102.SZ,2019-02-21,6.5,6.71,6.34,6.37,6.48,-0.11,-1.6975,198436.31,128982.138
300102.SZ,2019-02-22,6.36,6.91,6.33,6.74,6.37,0.37,5.8085,369457.96,244804.393
300102.SZ,2019-02-25,6.91,7.06,6.6,7.02,6.74,0.28,4.1543,462948.38,316479.565
